seg	depth_avg	cn_avg	cn_Ambigram	cn_Truth\
chr15:90724871-90725871	115.01	11.501	6	None
chr15:90725871-90726375	88.9028	8.89028	10	None
chr15:90726375-90821515	130.861	13.0861	10	None
chr15:90821515-90821921	92.6946	9.26946	12	None
chr15:90821921-90928127	143.667	14.3667	12	None
chr15:90928127-90928659	110.333	11.0333	14	None
chr15:90928659-91011445	141.305	14.1305	14	None
chr15:91011445-91011853	195.924	19.5924	14	None
chr15:91011853-91171071	145.913	14.5913	12	None
chr15:91171071-91171434	73.7741	7.37741	12	None
chr15:91171434-91172434	129.849	12.9849	10	None
