FBI_id,distance,data_label
chr4:87926012:87937548,11536,CHD_proband
chr1:187495696:187497595,1899,CHD_proband
chr1:187497344:187497598,254,CHD_proband
chr12:80454441:80461952,7511,CHD_proband
chr10:57497899:57498224,325,CHD_proband
chr3:162827575:162829871,2296,CHD_proband
chr3:172455538:172455915,377,CHD_proband
chrX:79666392:79667868,1476,CHD_proband
chrX:79667729:79670580,2851,CHD_proband
chr21:26001844:26002386,542,CHD_proband
chr5:46527027:46539245,12218,CHD_proband
chr4:167193921:167194355,434,CHD_proband
chr3:80015320:80015952,632,CHD_proband
chr2:124294183:124295338,1155,CHD_proband
chr1:80328939:80329427,488,CHD_proband
chr7:70961199:70973894,12695,CHD_proband
chr16:69727926:69728993,1067,CHD_proband
chr5:148174677:148175216,539,CHD_proband
chr2:128927598:128928240,642,CHD_proband
chr7:40839777:40840871,1094,CHD_proband
chr4:111086236:111087312,1076,CHD_proband
chr7:105520479:105521175,696,CHD_proband
chr17:5691379:5692236,857,CHD_proband
chr16:48871900:48872325,425,CHD_proband
chr2:183704465:183706301,1836,CHD_proband
chr7:40839777:40840871,1094,CHD_proband
chr1:187495696:187497595,1899,CHD_proband
chr1:187497344:187497598,254,CHD_proband
chr8:26491883:26492661,778,CHD_proband
chr7:151312949:151315020,2071,CHD_proband
chr5:28932749:28934786,2037,CHD_proband
chr4:87926012:87937548,11536,CHD_proband
chr2:95544969:95545592,623,CHD_proband
chr2:116216764:116224311,7547,CHD_proband
chr2:72213038:72214235,1197,CHD_proband
chr21:26001844:26002386,542,CHD_proband
chr5:46527027:46539245,12218,CHD_proband
chr2:224428234:224428365,131,CHD_proband
chr2:224428264:224429235,971,CHD_proband
chr7:70961199:70973894,12695,CHD_proband
chr1:197787659:197788855,1196,CHD_proband
chr1:207119002:207119851,849,CHD_proband
chr11:95633480:95634028,548,CHD_proband
chr4:87926012:87937548,11536,CHD_proband
chr2:124294183:124295338,1155,CHD_proband
chr12:39466254:39466497,243,CHD_proband
chr12:39466325:39466531,206,CHD_proband
chr7:70961199:70973894,12695,CHD_proband
chr21:26001844:26002386,542,CHD_proband
chr5:148174677:148175216,539,CHD_proband
chr8:117862980:117863355,375,CHD_proband
chr4:167193921:167194355,434,CHD_proband
chr7:40839777:40840871,1094,CHD_proband
chr12:71139014:71139975,961,CHD_proband
chr12:80454441:80461952,7511,CHD_proband
chr10:57497899:57498224,325,CHD_proband
chr16:85155108:85156196,1088,CHD_proband
chr20:44680251:44683268,3017,CHD_proband
chrX:29251032:29252080,1048,CHD_proband
chr2:95544969:95545592,623,CHD_proband
chr16:69727926:69728993,1067,CHD_proband
chr3:165756155:165758534,2379,CHD_proband
chr3:172455538:172455915,377,CHD_proband
chr1:187495696:187497595,1899,CHD_proband
chr1:187497344:187497598,254,CHD_proband
chr1:43593625:43594215,590,CHD_proband
chr12:12391927:12393688,1761,CHD_proband
chr12:127906521:127907286,765,CHD_proband
chr3:80013716:80016128,2412,CHD_proband
chrX:79666392:79667868,1476,CHD_proband
chrX:79667729:79670580,2851,CHD_proband
chr1:207119002:207119851,849,CHD_proband
chr5:31190135:31191075,940,CHD_proband
chr2:224428234:224428365,131,CHD_proband
chr1:187495696:187497595,1899,CHD_proband
chr1:187497344:187497598,254,CHD_proband
chr2:95544969:95545592,623,CHD_proband
chr21:26001844:26002386,542,CHD_proband
chr5:46527027:46539245,12218,CHD_proband
chr7:31547158:31552382,5224,CHD_proband
chr9:102564715:102570278,5563,CHD_proband
chr2:72213038:72214235,1197,CHD_proband
chr3:80015319:80015951,632,CHD_proband
chr4:87926012:87937551,11539,CHD_proband
chr10:125501849:125512533,10684,CHD_proband
chr7:40839777:40840871,1094,CHD_proband
chr10:57497899:57498224,325,CHD_proband
chr16:85155108:85156196,1088,CHD_proband
chr10:57497899:57498224,325,CHD_proband
chr10:57497185:57498185,1000,CHD_proband
chr5:46527027:46539245,12218,CHD_proband
chr2:95544969:95545591,622,CHD_proband
chr1:207119002:207119851,849,CHD_proband
chr5:148174677:148175216,539,CHD_proband
