region,p_value
chr1:16000001-17000000,0.3076254582714268
chr1:19000001-20000000,1.0
chr1:20000001-21000000,0.035992911355611286
chr1:21000001-22000000,1.5808395861608137e-05
chr1:29000001-30000000,0.02415046284971135
chr1:30000001-31000000,0.7212099982585414
chr1:35000001-36000000,1.0
chr1:36000001-37000000,0.6403187139777127
chr1:39000001-40000000,0.678458690318322
chr1:43000001-44000000,0.5713958728377944
chr1:44000001-45000000,0.7482672553433848
chr1:48000001-49000000,0.036136056062235196
chr1:51000001-52000000,0.7674948133198742
chr1:63000001-64000000,0.5086020837177756
chr1:64000001-65000000,0.0883746083313417
chr1:80000001-81000000,0.6366028788424234
chr1:81000001-82000000,0.43210440435105035
chr1:84000001-85000000,0.823040929800749
chr1:86000001-87000000,1.0
chr1:91000001-92000000,0.18931100504643306
chr1:92000001-93000000,0.6366413872532488
chr1:102000001-103000000,5.2217673365660085e-09
chr1:103000001-104000000,0.2233358374856101
chr1:114000001-115000000,0.4520816363809824
chr1:125000001-126000000,0.00032950836923586866
chr1:147000001-148000000,0.6834163788209014
chr1:148000001-149000000,0.7690943299322169
chr1:152000001-153000000,0.006672472248548421
chr1:153000001-154000000,0.3927868938103586
chr1:155000001-156000000,0.14840833975208728
chr1:157000001-158000000,1.0
chr1:165000001-166000000,0.11965824222390242
chr1:168000001-169000000,0.17669794800073294
chr1:175000001-176000000,0.6304398536644367
chr1:181000001-182000000,0.217428847543149
chr1:186000001-187000000,0.004719928109375676
chr1:187000001-188000000,0.01575933334046277
chr1:196000001-197000000,0.6116642177358147
chr1:197000001-198000000,0.13792667861184565
chr1:205000001-206000000,1.0
chr1:207000001-208000000,0.7479303910203494
chr1:211000001-212000000,1.0
chr1:226000001-227000000,0.35152270715477807
chr1:230000001-231000000,0.2487924670600719
chr1:237000001-238000000,0.9148837706908668
chr1:239000001-240000000,0.46466132506343893
chr1:241000001-242000000,1.0
chr1:247000001-248000000,0.857568821133079
chr2:2000001-3000000,1.0
chr2:4000001-5000000,7.365009002783236e-08
chr2:7000001-8000000,1.0
chr2:10000001-11000000,0.05262255756731676
chr2:16000001-17000000,0.056470644294535854
chr2:33000001-34000000,0.0019502598029260715
chr2:38000001-39000000,0.41381948514383704
chr2:40000001-41000000,1.0
chr2:44000001-45000000,0.22870355718399762
chr2:45000001-46000000,0.07073506076634857
chr2:50000001-51000000,0.002144019719216533
chr2:51000001-52000000,0.0012478454112563994
chr2:54000001-55000000,0.41381948514383704
chr2:61000001-62000000,0.0009797733921981966
chr2:62000001-63000000,0.05044544721791451
chr2:72000001-73000000,0.8424544263765908
chr2:76000001-77000000,0.7049555441081248
chr2:79000001-80000000,0.5394990380266328
chr2:81000001-82000000,0.35152270715477807
chr2:85000001-86000000,0.0020201257883608586
chr2:86000001-87000000,0.09478573971094653
chr2:88000001-89000000,0.000395060718511987
chr2:91000001-92000000,1.1008690855930628e-08
chr2:95000001-96000000,2.587579124665499e-05
chr2:105000001-106000000,1.0
chr2:116000001-117000000,0.788483026164055
chr2:117000001-118000000,0.43234851615858816
chr2:118000001-119000000,0.9405963439175695
chr2:120000001-121000000,0.1887732008780866
chr2:122000001-123000000,0.08086327144010619
chr2:123000001-124000000,1.0
chr2:124000001-125000000,0.9831562804413171
chr2:128000001-129000000,0.2516059406632714
chr2:129000001-130000000,1.0
chr2:131000001-132000000,4.084586629758818e-06
chr2:132000001-133000000,0.0006020092494559336
chr2:143000001-144000000,0.2729825524519903
chr2:152000001-153000000,0.00883003139862386
chr2:153000001-154000000,1.0
chr2:159000001-160000000,1.9482548992855602e-06
chr2:167000001-168000000,0.9215346587642028
chr2:176000001-177000000,0.7049555441081248
chr2:179000001-180000000,0.19793991931205435
chr2:183000001-184000000,0.004093075370138422
chr2:187000001-188000000,0.05397388792973932
chr2:193000001-194000000,0.14840833975208728
chr2:194000001-195000000,0.9405963439175695
chr2:195000001-196000000,0.06275806564760142
chr2:208000001-209000000,0.07379100340514995
chr2:215000001-216000000,0.035992911355611286
chr2:222000001-223000000,1.0
chr2:224000001-225000000,0.5866974694155265
chr2:227000001-228000000,0.7904777296173037
chr2:241000001-242000000,1.0
chr2:242000001-243000000,0.823040929800749
chr3:1000001-2000000,0.35152270715477807
chr3:2000001-3000000,1.0
chr3:6000001-7000000,0.0007768479670209849
chr3:7000001-8000000,0.8429844726161227
chr3:8000001-9000000,1.0
chr3:9000001-10000000,0.004504757261016072
chr3:22000001-23000000,0.016024422819171626
chr3:26000001-27000000,0.29084191502255763
chr3:28000001-29000000,1.0
chr3:41000001-42000000,0.7781884170427422
chr3:43000001-44000000,0.34273298616625325
chr3:44000001-45000000,0.4316130478688419
chr3:45000001-46000000,0.8968048874273569
chr3:63000001-64000000,0.6834163788209014
chr3:66000001-67000000,1.0
chr3:75000001-76000000,0.01027065885728514
chr3:78000001-79000000,0.39231128200688214
chr3:80000001-81000000,0.12204082394563241
chr3:82000001-83000000,0.014348052545471633
chr3:85000001-86000000,0.7674948133198742
chr3:91000001-92000000,2.6556272547195615e-09
chr3:95000001-96000000,1.0
chr3:104000001-105000000,0.751611650388441
chr3:108000001-109000000,0.5086020837177756
chr3:122000001-123000000,0.04750138495935987
